주문일,지점,사원,분류,상품,수량,단가,매출액,월,일,요일,요일한글
2026-03-02,강남,김철수,가전,노트북,3.0,1200000.0,3600000.0,3,2,Monday,월
2026-03-02,강남,김철수,주변기기,마우스,10.0,25000.0,250000.0,3,2,Monday,월
2026-03-03,홍대,이영희,가전,모니터,4.0,350000.0,1400000.0,3,3,Tuesday,화
2026-03-03,부산,박민수,주변기기,키보드,8.0,45000.0,360000.0,3,3,Tuesday,화
2026-03-04,강남,김철수,가전,노트북,2.0,1200000.0,2400000.0,3,4,Wednesday,수
2026-03-04,홍대,,주변기기,마우스,15.0,25000.0,375000.0,3,4,Wednesday,수
2026-03-05,부산,박민수,가전,모니터,,350000.0,,3,5,Thursday,목
2026-03-05,강남,최지은,주변기기,키보드,12.0,45000.0,540000.0,3,5,Thursday,목
2026-03-06,홍대,이영희,가전,노트북,1.0,1200000.0,1200000.0,3,6,Friday,금
2026-03-06,부산,박민수,주변기기,마우스,20.0,25000.0,500000.0,3,6,Friday,금
2026-03-09,강남,최지은,가전,모니터,5.0,350000.0,1750000.0,3,9,Monday,월
2026-03-09,홍대,정하늘,주변기기,키보드,6.0,,,3,9,Monday,월
2026-03-10,부산,박민수,가전,노트북,2.0,1200000.0,2400000.0,3,10,Tuesday,화
2026-03-10,강남,김철수,주변기기,마우스,7.0,25000.0,175000.0,3,10,Tuesday,화
